,Apparel_Set,Bottomwear,Dress,Innerwear,Loungewear_and_Nightwear,Saree,Socks,Topwear,Casual,Ethnic,Formal,Party,Smart_Casual,Sports,Travel
0,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
3,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
4,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
5,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
6,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
7,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
15,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
17,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
18,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
23,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
27,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
30,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
31,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
32,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
35,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
39,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
43,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
44,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
46,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
47,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
48,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
52,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
53,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
55,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
56,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
57,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
59,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
60,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
61,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
68,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
72,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
73,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
74,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
75,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
78,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
82,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
83,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
90,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
93,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
94,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
95,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
97,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
98,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
100,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
101,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
107,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
110,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
115,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
116,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
117,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
118,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
122,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
124,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
128,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
131,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
132,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
134,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
139,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
140,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
141,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
142,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
144,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
146,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
151,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
154,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
157,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
159,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
160,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
161,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
166,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
167,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
169,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
174,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
180,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
182,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
184,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
187,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
189,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
191,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
193,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
194,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
195,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
196,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
197,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
199,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
200,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
202,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
204,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
206,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
209,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
211,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
213,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
214,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
217,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
218,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
221,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
222,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
224,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
227,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
228,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
232,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
233,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
234,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
235,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
238,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
243,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
249,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
251,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
253,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
254,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
255,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
257,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
258,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
259,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
261,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
262,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
264,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
265,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
268,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
269,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
272,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
273,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
276,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
278,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
280,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
281,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
284,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
285,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
289,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
290,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
291,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
293,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
296,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
297,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
298,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
300,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
301,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
302,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
303,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
304,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
305,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
306,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
312,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
314,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
315,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
321,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
325,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
327,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
329,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
333,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
336,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
338,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
339,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
341,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
342,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
345,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
347,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
353,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
358,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
361,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
363,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
364,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
365,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
366,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
367,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
370,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
373,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
377,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
379,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
