,labels
0,2
1,1
3,2
4,1
5,1
6,1
7,1
15,2
17,1
18,1
23,2
27,2
30,1
31,1
32,1
35,2
39,1
43,1
44,2
46,1
47,3
48,2
52,1
53,1
55,1
56,1
57,1
59,2
60,2
61,2
68,1
72,2
73,2
74,2
75,2
78,1
82,1
83,1
90,1
93,1
94,1
95,1
97,1
98,1
100,1
101,1
107,2
110,2
115,2
116,1
117,1
118,1
122,1
124,2
128,2
131,2
132,2
134,1
139,2
140,1
141,1
142,2
144,1
146,1
151,1
154,2
157,1
159,1
160,2
161,2
166,2
167,1
169,2
174,2
180,1
182,2
184,1
187,1
189,1
191,1
193,2
194,2
195,3
196,1
197,2
199,1
200,2
202,2
204,2
206,2
209,1
211,2
213,2
214,1
217,1
218,2
221,1
222,1
224,1
227,2
228,1
232,1
233,1
234,2
235,1
238,1
243,3
249,1
251,2
253,2
254,1
255,2
257,1
258,1
259,2
261,1
262,1
264,1
265,2
268,1
269,1
272,2
273,1
276,1
278,2
280,1
281,2
284,2
285,2
289,1
290,1
291,1
293,2
296,2
297,1
298,3
300,1
301,1
302,1
303,2
304,2
305,1
306,1
312,1
314,2
315,1
321,1
325,1
327,1
329,2
333,1
336,2
338,1
339,2
341,1
342,2
345,2
347,1
353,2
358,2
361,1
363,1
364,2
365,1
366,2
367,1
370,1
373,1
377,1
379,1
380,2
381,1
382,1
383,2
386,3
390,1
393,1
395,1
396,1
398,1
402,1
403,2
404,1
407,1
409,1
410,2
411,2
414,1
415,1
417,2
418,1
420,2
421,2
422,2
423,2
424,1
426,1
427,2
428,2
429,1
431,1
433,2
434,1
438,2
444,1
445,1
447,1
451,1
452,1
456,1
458,1
459,1
460,2
461,1
462,2
464,2
465,1
466,1
467,1
470,1
471,1
474,1
476,3
478,2
480,2
481,1
482,2
488,1
491,1
492,2
498,3
500,1
501,1
503,2
504,1
506,1
507,1
510,1
513,1
514,3
515,2
517,1
519,2
520,1
522,1
528,1
531,2
533,2
534,1
535,1
536,1
539,2
542,1
544,3
547,2
548,1
551,1
552,1
553,1
554,1
555,1
565,1
567,2
569,1
570,2
576,2
577,1
579,1
580,1
581,1
582,2
584,1
585,1
588,2
592,1
593,1
597,1
599,2
602,2
604,1
605,1
606,1
608,1
610,1
612,1
613,2
614,3
615,2
617,1
618,2
620,2
621,2
622,1
623,1
625,2
626,1
630,2
631,2
633,1
634,2
638,2
639,2
644,1
646,2
649,2
654,1
656,2
657,1
659,2
660,1
661,1
663,2
664,3
666,1
669,1
670,2
672,1
674,2
676,1
678,1
684,2
685,1
687,1
688,2
693,1
694,2
696,1
697,1
698,1
707,1
710,1
712,1
713,1
715,1
716,1
720,1
721,1
723,1
725,1
727,1
729,2
731,2
732,1
733,2
735,2
736,1
740,1
741,1
742,1
745,2
748,1
752,2
754,3
755,2
759,1
762,3
763,1
764,1
765,1
770,2
771,1
774,1
777,1
778,1
779,1
781,1
782,2
784,2
787,1
791,1
792,1
798,2
799,2
800,1
801,1
804,2
806,2
807,2
811,2
818,1
819,1
822,2
832,2
833,2
835,1
837,2
843,1
844,1
847,2
848,1
851,1
852,1
854,2
857,2
860,1
861,2
863,1
866,1
867,1
870,2
871,2
878,3
882,1
885,1
886,2
888,2
891,1
892,1
894,1
896,1
901,1
906,2
907,1
908,1
909,1
910,1
913,1
915,1
916,1
917,2
919,1
921,2
923,2
924,1
925,2
928,2
938,2
942,2
943,1
946,2
956,1
959,2
966,2
967,2
969,1
971,1
972,2
976,1
977,1
980,2
981,2
982,1
983,1
984,2
986,1
988,1
989,1
992,1
994,2
998,1
999,1
1000,2
1001,1
1004,1
1007,2
1009,2
1011,1
1013,1
1014,2
1016,2
1021,2
1028,2
1030,2
1032,2
1033,1
1037,2
1040,2
1043,1
1044,1
1047,2
1051,2
1053,1
1055,2
1058,2
1061,1
1064,1
1065,2
1067,2
1068,1
1070,1
1071,1
1073,1
1075,1
1079,2
1082,1
1087,1
1088,1
1090,1
1091,1
1092,2
1093,2
1094,1
1095,2
1096,1
1097,1
1103,1
1104,2
1107,1
1108,1
1109,1
1110,1
1114,2
1115,3
1117,1
1119,1
1120,1
1121,1
1124,1
1127,2
1128,1
1129,2
1132,1
1133,1
1134,2
1135,1
1136,2
1140,1
1141,1
1142,1
1145,1
1148,1
1149,2
1152,2
1157,1
1158,1
1159,2
1165,2
1167,2
1169,1
1174,1
1176,1
1180,2
1183,2
1189,1
1195,1
1197,1
1198,2
1200,1
1202,2
1203,2
1204,1
1205,1
1206,1
1207,2
1208,1
1210,2
1211,1
1215,1
1216,1
1218,2
1220,1
1221,3
1222,2
1223,1
1225,1
1227,1
1228,1
1230,2
1233,1
1234,1
1235,1
1240,2
1241,2
1242,1
1244,1
1247,2
1251,1
1252,1
1257,1
1262,2
1265,1
1268,2
1269,2
1275,2
1276,2
1283,2
1284,1
1285,2
1288,1
1294,1
1295,1
1296,2
1297,1
1298,2
1300,2
1301,1
1304,2
1305,3
1311,1
1315,2
1317,1
1319,1
1320,1
1323,2
1328,1
1330,1
1334,3
1339,2
1342,2
1343,1
1344,2
1345,1
1349,1
1356,1
1357,2
1358,1
1359,2
1365,3
1372,1
1374,2
1375,2
1387,1
1388,1
1389,1
1391,2
1392,1
1393,1
1395,1
1397,2
1399,2
1400,1
1403,1
1408,1
1411,1
1412,1
1416,2
1419,2
1421,1
1422,1
1424,1
1425,3
1426,2
1427,2
1429,1
1430,1
1432,1
1434,1
1435,2
1438,1
1439,2
1441,2
1443,2
1445,1
1448,1
1449,1
1452,1
1454,1
1455,2
1457,3
1459,2
1462,1
1466,1
1467,2
1469,2
1470,1
1473,1
1474,2
1482,1
1485,1
1491,2
1493,1
1496,1
1498,2
1499,1
1500,1
1501,2
1508,1
1512,1
1516,1
1517,1
1519,1
1520,2
1521,1
1524,2
1525,3
